date,ticker,accuracy,close,0_2,0_3
2017-08-23,600570,0.65,48.48,0.2421875,0.625
2017-08-22,002460,0.45,70.49,0.1640625,0.6171875
2017-08-23,600362,0.7,17.97,0.234375,0.4609375
2017-08-23,000060,0.7,12.25,0.1484375,0.5703125
2017-08-23,000558,0.85,6.87,0.0390625,0.75
2017-08-23,000561,0.65,10.16,0.28125,0.6171875
2017-08-23,002167,0.6,12.21,0.2734375,0.2890625
2017-08-23,000983,0.8,10.0,0.0859375,0.7421875
